Track,tr
Fuel,true,Tyre,false
Results posted 10 Dec 2023, 19:50
N Smith,29 Bentley Racing,8,1:38.702,+ 0:09.448,188.28,10
N Smith,29 Bentley Racing,9,1:38.528,+ 0:06.905,188.61,7
N Smith,29 Bentley Racing,10,1:37.170,+ 0:04.469,191.24,7
N Smith,29 Bentley Racing,11,1:38.099,+ 0:03.247,189.43,5
N Smith,29 Bentley Racing,12,1:38.023,-,189.58,1
N Smith,29 Bentley Racing,13,1:38.521,-,188.62,1
N Smith,29 Bentley Racing,14,1:53.837,+ 0:13.422,163.24,14
N Smith,29 Bentley Racing,PIT,2.7 seconds / Soft tyres,,,
N Smith,29 Bentley Racing,15,1:40.012,+ 0:10.190,185.81,13
N Smith,29 Bentley Racing,16,1:37.548,+ 0:10.262,190.50,12
N Smith,29 Bentley Racing,17,1:36.616,+ 0:09.170,192.34,11
N Smith,29 Bentley Racing,18,1:37.442,+ 0:04.192,190.71,5
N Smith,29 Bentley Racing,19,1:37.053,+ 0:03.103,191.47,4
N Smith,29 Bentley Racing,20,1:36.770,-,192.03,1
N Smith,29 Bentley Racing,21,1:38.150,+ 0:00.602,189.33,2
N Smith,29 Bentley Racing,22,1:52.946,+ 0:08.019,164.53,13
N Smith,29 Bentley Racing,PIT,2.6 seconds / Super soft tyres,,,
N Smith,29 Bentley Racing,23,1:38.806,+ 0:09.279,188.08,14
N Smith,29 Bentley Racing,24,1:36.630,+ 0:08.476,192.31,9
N Smith,29 Bentley Racing,25,1:36.395,+ 0:07.282,192.78,7
N Smith,29 Bentley Racing,26,1:36.210,+ 0:03.007,193.15,5
N Smith,29 Bentley Racing,27,1:38.001,+ 0:03.558,189.62,4
N Smith,29 Bentley Racing,28,1:52.075,+ 0:18.458,165.81,22
N Smith,29 Bentley Racing,PIT,2.5 seconds / Super soft tyres,,,
N Smith,29 Bentley Racing,29,1:37.691,+ 0:18.638,190.22,21
N Smith,29 Bentley Racing,30,1:35.811,+ 0:06.812,193.96,11
N Smith,29 Bentley Racing,31,1:35.583,+ 0:05.537,194.42,7
N Smith,29 Bentley Racing,32,1:36.152,+ 0:04.448,193.27,3
N Smith,29 Bentley Racing,33,1:36.752,+ 0:03.664,192.07,3
N Smith,29 Bentley Racing,34,1:51.734,+ 0:15.328,166.32,18
N Smith,29 Bentley Racing,PIT,3 seconds / Soft tyres,,,
N Smith,29 Bentley Racing,35,1:39.598,+ 0:18.109,186.58,23
N Smith,29 Bentley Racing,36,1:36.493,+ 0:18.313,192.59,20
N Smith,29 Bentley Racing,37,1:35.996,+ 0:17.438,193.58,18
N Smith,29 Bentley Racing,38,1:36.110,+ 0:06.514,193.35,7
N Smith,29 Bentley Racing,39,1:36.446,+ 0:05.982,192.68,6
N Smith,29 Bentley Racing,40,1:36.221,+ 0:03.176,193.13,2
N Smith,29 Bentley Racing,41,1:37.074,+ 0:03.282,191.43,3
N Smith,29 Bentley Racing,42,1:52.568,+ 0:17.057,165.08,18
N Smith,29 Bentley Racing,PIT,3.4 seconds / Medium tyres,,,
