V Aznabaev,-95
H Kowalski,-39
P Riccardi,-75
M Márquez,13
H Ydrogen,-91
J 77 MZ,13
G Robinson,-23
O Bearman,33
D Pedrosa,21
M Kevinsen,-23
D Mansell,-72
M Vass,4
F Bauer,-3
T Folger,-19
T Jansen,37
P Angelo,60
S Rystrom,32
F Franjić,10
I Lutrova,-21
R Jones,7
A Sanchez,25
J Martinelli,79
N Richard,127
